SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,IMPORT_KWH (kWh),EXPORT_KWH (kWh),IMPORT_KVARH (kvarh),EXPORT_KVARH (kvarh),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),POWER_FACTOR
000018300165,0700084902,1.75236E+12,LP,2025-07-13,03:15:00,33412.9,26077.73,15089.67,60334.23,0,1.542,0.445,236.9,235.6,235.6,0.769
000018300165,0700084902,1.75236E+12,LP,2025-07-13,03:00:00,33412.85,26077.73,15089.64,60334.22,0,1.545,0.456,240.2,237.8,239.5,0.763
000018300165,0700084902,1.75235E+12,LP,2025-07-13,02:45:00,33412.75,26077.73,15089.56,60334.22,0,1.553,0.453,239.7,236.1,238.8,0.776
000018300165,0700084902,1.75235E+12,LP,2025-07-13,02:30:00,33412.67,26077.73,15089.5,60334.22,0,1.536,0.455,240.1,235.8,239,0.775
000018300165,0700084902,1.75235E+12,LP,2025-07-13,02:15:00,33412.6,26077.73,15089.47,60334.22,0,1.504,0.451,239.6,234.8,237.8,0.773
000018300165,0700084902,1.75235E+12,LP,2025-07-13,02:00:00,33412.52,26077.73,15089.4,60334.22,0,1.544,0.44,238.7,236.2,234.1,0.77
000018300165,0700084902,1.75235E+12,LP,2025-07-13,01:45:00,33412.43,26077.73,15089.33,60334.22,2.059,1.548,0.44,236.6,235.6,234.4,0.952
000018300165,0700084902,1.75235E+12,LP,2025-07-13,01:30:00,33412.34,26077.73,15089.26,60334.22,0,1.576,0.441,240.3,238.4,235.4,0.768
000018300165,0700084902,1.75235E+12,LP,2025-07-13,01:15:00,33412.27,26077.73,15089.19,60334.22,0,1.573,0.441,239.4,237.9,235.8,0.771
000018300165,0700084902,1.75235E+12,LP,2025-07-13,01:00:00,33412.17,26077.73,15089.13,60334.22,0,1.565,0.576,239,236.1,234.6,0.809
000018300165,0700084902,1.75235E+12,LP,2025-07-13,00:45:00,33412.06,26077.73,15089.05,60334.22,0.071,1.578,0.205,239.5,234.8,237.7,0.758
000018300165,0700084902,1.75235E+12,LP,2025-07-13,00:30:00,33411.97,26077.73,15088.99,60334.22,0.412,1.545,0.199,238.3,234.8,235.5,0.818
000018300165,0700084902,1.75235E+12,LP,2025-07-13,00:15:00,33411.89,26077.73,15088.93,60334.22,0.417,1.534,0.197,237.5,234.2,233.6,0.813
