SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),IMPORT_KVARH (kvarh),EXPORT_KVARH (kvarh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),POWER_FACTOR,INST._IMPORT_KW (kW),INST._EXPORT_KW (kW),INST._IMPORT_KVA (kVA),INST._EXPORT_KVA (kVA)
000020306791,0706323805,1.75236E+12,LP,2025-07-13,03:15:00,0.3077,14516.408,0,6817.046,3282.481,628.508,0.3383,0,0.506,0.082,0.884,224.6001,238.7001,231.4,0.909,,,,
000020306791,0706323805,1.75236E+12,LP,2025-07-13,03:00:00,0.4368,14516.313,0,6817.046,3282.4701,628.501,0.5038,0,1.217,0.083,0.899,225.7001,244.4,232.1001,0.866,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,02:45:00,0.3212,14516.2,0,6817.046,3282.457,628.497,0.3533,0,0.518,0.083,0.918,228.3,242.7001,233.7001,0.909,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,02:30:00,0.3145,14516.12,0,6817.046,3282.457,628.482,0.3486,0,0.512,0.083,0.917,225.3,244.7001,231.8,0.901,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,02:15:00,0.3128,14516.039,0,6817.046,3282.457,628.467,0.346,0,0.52,0.083,0.911,224.5,244.3,228.7001,0.904,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,02:00:00,0.5294,14515.918,0,6817.046,3282.447,628.46,0.59,0,1.422,0.083,1.106,221.1001,242.9,230.6001,0.897,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,01:45:00,0.4858,14515.763,0,6817.046,3282.426,628.46,0.5554,0,1.258,0.083,1.112,221.8,242.7001,229.8,0.874,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,01:30:00,0.492,14515.64,0,6817.046,3282.409,628.46,0.5619,0,1.262,0.083,1.113,223,244.6001,233.3,0.875,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,01:15:00,1.102,14515.441,0,6817.046,3282.382,628.46,1.1795,0,3.724,0.083,1.3961,224.3,242.9,231.7001,0.934,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,01:00:00,0.5775,14515.281,0,6817.046,3282.3651,628.46,0.6495,0,1.555,0.083,1.226,221.4,242.4,232.1001,0.889,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,00:45:00,0.5639,14515.132,0,6817.046,3282.35,628.46,0.637,0,1.491,0.083,1.228,220.9,243.8,233.6001,0.885,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,00:30:00,1.2588,14514.928,0,6817.046,3282.324,628.46,1.3327,0,4.686,0.083,1.2771,217,243.6001,231,0.9441,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,00:15:00,1.2565,14514.566,0,6817.046,3282.277,628.46,1.3233,0,4.806,0.083,1.036,221.9,241.7001,227.7001,0.9491,,,,
000020306791,0706323805,1.75235E+12,LP,2025-07-13,00:00:00,1.2982,14514.286,0,6817.046,3282.224,628.46,1.3852,0,4.948,0.084,1.064,226.1001,246.9,230.6001,0.937,,,,
