SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000023901011,F1,1.75236E+12,LP,2025-07-13,04:00:00,234.7001,233.5,234.8
000023901011,F1,1.75236E+12,LP,2025-07-13,03:45:00,234.4,232.6001,235.2001
000023901011,F1,1.75236E+12,LP,2025-07-13,03:30:00,231.7001,232.1001,233.5
000023901011,F1,1.75236E+12,LP,2025-07-13,03:15:00,232.4,231,233.3
000023901011,F1,1.75236E+12,LP,2025-07-13,03:00:00,233.3,234.9,236.7001
000023901011,F1,1.75235E+12,LP,2025-07-13,02:45:00,234.7001,234,235.6001
000023901011,F1,1.75235E+12,LP,2025-07-13,02:30:00,233.2001,235.3,236.1001
000023901011,F1,1.75235E+12,LP,2025-07-13,02:15:00,232.6001,233.2001,234.8
000023901048,F2,1.75236E+12,LP,2025-07-13,04:00:00,234.9,238.1001,230.7001
000023901048,F2,1.75236E+12,LP,2025-07-13,03:45:00,234.5,237.9,230.9
000023901048,F2,1.75236E+12,LP,2025-07-13,03:30:00,234.1001,236.3,229.6001
000023901048,F2,1.75236E+12,LP,2025-07-13,03:15:00,233.5,235.9,229.2001
000023901048,F2,1.75236E+12,LP,2025-07-13,03:00:00,236.1001,239.8,232.1001
000023901048,F2,1.75235E+12,LP,2025-07-13,02:45:00,235.4,238.4,231.6001
000023901048,F2,1.75235E+12,LP,2025-07-13,02:30:00,235.5,238.3,232.7001
000023901048,F2,1.75235E+12,LP,2025-07-13,02:15:00,234.9,237.1001,232.3
000023901048,F2,1.75235E+12,LP,2025-07-13,02:00:00,233.7001,236.6001,231
000023901048,F2,1.75235E+12,LP,2025-07-13,01:45:00,233.3,236,230.2001
000023901048,F2,1.75235E+12,LP,2025-07-13,01:30:00,235.8,238.4,232.9
000023901048,F2,1.75235E+12,LP,2025-07-13,01:15:00,235.7001,237.2001,231
000023901048,F2,1.75235E+12,LP,2025-07-13,01:00:00,234.7001,237.5,229.8
000023901048,F2,1.75235E+12,LP,2025-07-13,00:45:00,235.2001,237.7001,230.5
000023901048,F2,1.75235E+12,LP,2025-07-13,00:30:00,234,237,229.5
