SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),INST._POWER_FACTOR
000023400476,071/AZ0621,1.75231E+12,LP,2025-07-12,13:30:00,32.15,699332.37,0,31632.827,50.51,0,77.9,112.4,94,237.47,236.4501,236.62,0.85
000023400476,071/AZ0621,1.75231E+12,LP,2025-07-12,13:15:00,25.47,699324.332,0.84,31632.827,44.9801,4.82,56.3001,74,65.8,238.74,237.6701,237.6701,0.512
000023400476,071/AZ0621,1.75231E+12,LP,2025-07-12,13:00:00,47.14,699317.963,0.05,31632.616,66.31,0.56,-78,71.3,70,239.26,238.28,238,-0.068
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,12:45:00,25.94,699306.177,0.77,31632.602,48.83,3.5701,93,141.2001,90.7,237.12,236.18,236.38,0.794
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,12:30:00,16.14,699299.691,3.49,31632.408,35.09,14.08,76.5,110.8,79.2,236.76,235.68,236.07,0.728
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,12:15:00,7.55,699295.655,4.82,31631.534,31.2,18.79,-108.6,-72.2,-75.6,239.21,238.04,238.06,-0.637
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,12:00:00,29.95,699293.7661,1.11,31630.328,50.92,9.82,79,96.1001,80.7,237.9,237.07,237.16,0.4131
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,11:45:00,10,699286.278,0.8201,31630.05,34.59,14.7001,131.8,161.7001,113.2,235.6401,234.93,235.21,0.904
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,11:30:00,8.27,699283.778,0.72,31629.844,39.26,11.8,-73.5,72.2,65.4,238.35,237.4201,237.26,0.0361
000023400476,071/AZ0621,1.7523E+12,LP,2025-07-12,11:15:00,6.68,699281.708,1.29,31629.663,34.26,9.22,-77.5,82.7,-64.6,238.31,237.12,237.3901,0.0091
