SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000017400798,0703235203,1.74876E+12,LP,2025-06-01,13:30:00,194.3,3919068,0,0,201.3,0,345,317,301,236,237,237
000017400798,0703235203,1.74876E+12,LP,2025-06-01,13:15:00,200.24,3919019,0,0,207.1,0,292,276,248,235,236,237
000017400798,0703235203,1.74876E+12,LP,2025-06-01,13:00:00,199.54,3918969,0,0,206.3,0,359,322,312,234,234,234
000017400798,0703235203,1.74876E+12,LP,2025-06-01,12:45:00,198.7,3918919,0,0,205.54,0,312,299,267,235,236,236
000017400798,0703235203,1.74876E+12,LP,2025-06-01,12:30:00,197.64,3918869,0,0,204.54,0,326,300,270,235,236,236
000017400798,0703235203,1.74876E+12,LP,2025-06-01,12:15:00,194.8,3918820,0,0,201.7,0,329,306,285,234,235,236
000017400798,0703235203,1.74876E+12,LP,2025-06-01,12:00:00,196.4,3918771,0,0,203.3,0,310,283,260,235,236,236
000017400798,0703235203,1.74876E+12,LP,2025-06-01,11:45:00,194.7,3918722,0,0,201.54,0,355,326,311,234,235,235
000017400798,0703235203,1.74876E+12,LP,2025-06-01,11:30:00,193.84,3918674,0,0,200.74,0,303,302,274,235,236,236
000017400798,0703235203,1.74876E+12,LP,2025-06-01,11:15:00,197.64,3918625,0,0,204.64,0,288,271,250,234,235,235
000017400798,0703235203,1.74876E+12,LP,2025-06-01,11:00:00,207.24,3918576,0,0,214.1,0,282,273,255,235,235,235
000017400798,0703235203,1.74875E+12,LP,2025-06-01,10:45:00,196.14,3918524,0,0,203.2,0,299,293,268,234,235,235
000017400798,0703235203,1.74875E+12,LP,2025-06-01,10:30:00,206,3918475,0,0,213.24,0,352,318,300,232,233,233
000017400798,0703235203,1.74875E+12,LP,2025-06-01,10:15:00,227.74,3918423,0,0,235.9,0,307,283,266,236,236,236
