SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000017400798,0703235203,1.75257E+12,LP,2025-07-15,13:30:00,2.54,3993678,36.2,1474,9.7,123.2,211,208,222,237,237,237
000017400798,0703235203,1.75257E+12,LP,2025-07-15,13:15:00,8.5,3993677,35.74,1465,16.24,103.04,176,176,188,235,236,236
000017400798,0703235203,1.75256E+12,LP,2025-07-15,13:00:00,26.6,3993675,32.84,1456,39.7,64.54,170,173,193,234,235,235
000017400798,0703235203,1.75256E+12,LP,2025-07-15,12:45:00,54.24,3993668,24.94,1447,72.2,55.7,168,142,137,234,235,234
000017400798,0703235203,1.75256E+12,LP,2025-07-15,12:30:00,58.5,3993655,10.7,1441,99.2,25.84,180,163,160,236,236,236
000017400798,0703235203,1.75256E+12,LP,2025-07-15,12:15:00,26.74,3993640,38.7,1438,42.1,85.7,183,177,193,235,236,236
000017400798,0703235203,1.75256E+12,LP,2025-07-15,12:00:00,55.44,3993633,16.1,1429,80.7,41.14,171,164,179,235,235,236
000017400798,0703235203,1.75256E+12,LP,2025-07-15,11:45:00,81.1,3993619,5.24,1425,109.2,15.2,201,193,178,235,236,235
000017400798,0703235203,1.75256E+12,LP,2025-07-15,11:30:00,40.3,3993599,29.74,1423,60.94,63.04,197,173,164,235,236,236
000017400798,0703235203,1.75256E+12,LP,2025-07-15,11:15:00,50.74,3993589,15.4,1416,72.44,40.7,186,183,199,235,235,235
000017400798,0703235203,1.75256E+12,LP,2025-07-15,11:00:00,62.04,3993576,7.84,1412,94,15.84,151,140,133,235,235,235
000017400798,0703235203,1.75256E+12,LP,2025-07-15,10:45:00,63.8,3993561,0.64,1410,96.44,3.24,170,171,142,234,234,234
000017400798,0703235203,1.75256E+12,LP,2025-07-15,10:30:00,132.9,3993545,0,1410,147.5,0,219,211,198,233,234,234
000017400798,0703235203,1.75255E+12,LP,2025-07-15,10:15:00,159.9,3993512,0,1410,181.84,0,319,301,290,236,236,236
000017400798,0703235203,1.75255E+12,LP,2025-07-15,10:00:00,181,3993472,0,1410,203.9,0,260,239,222,236,237,238
000017400798,0703235203,1.75255E+12,LP,2025-07-15,09:45:00,213.3,3993427,0,1410,226.8,0,338,324,306,235,235,236
000017400798,0703235203,1.75255E+12,LP,2025-07-15,09:30:00,106.2,3993373,0,1410,126.94,0,331,304,291,235,236,236
000017400798,0703235203,1.75255E+12,LP,2025-07-15,09:15:00,56.7,3993347,0,1410,71.6,0,127,118,102,236,236,237
000017400798,0703235203,1.75255E+12,LP,2025-07-15,09:00:00,40.8,3993332,0,1410,67.3,0,128,129,113,238,238,239
000017400798,0703235203,1.75255E+12,LP,2025-07-15,08:45:00,24.54,3993322,1.3,1410,36.1,3.64,119,98,94,237,237,238
000017400798,0703235203,1.75255E+12,LP,2025-07-15,08:30:00,0,3993316,16.94,1410,0,46.1,43,40,44,235,235,236
000017400798,0703235203,1.75255E+12,LP,2025-07-15,08:15:00,0,3993316,52.84,1405,0,98.34,74,70,70,237,237,237
000017400798,0703235203,1.75255E+12,LP,2025-07-15,08:00:00,0,3993316,24.24,1392,0,94.9,159,155,155,239,239,240
000017400798,0703235203,1.75255E+12,LP,2025-07-15,07:45:00,0,3993316,13.74,1386,0,56.2,137,132,133,240,240,240
000017400798,0703235203,1.75254E+12,LP,2025-07-15,07:30:00,1.24,3993316,9.7,1383,9.5,33.04,49,46,46,235,236,236
000017400798,0703235203,1.75254E+12,LP,2025-07-15,07:15:00,2.5,3993316,0,1380,58.94,0,70,63,64,236,237,237
000017400798,0703235203,1.75254E+12,LP,2025-07-15,07:00:00,3.54,3993315,0,1380,73.84,0,115,110,109,240,240,240
000017400798,0703235203,1.75254E+12,LP,2025-07-15,06:45:00,3.64,3993314,0,1380,62.84,0,97,91,93,239,239,239
000017400798,0703235203,1.75254E+12,LP,2025-07-15,06:30:00,3.64,3993313,0,1380,30.8,0,81,75,75,238,239,238
000017400798,0703235203,1.75254E+12,LP,2025-07-15,06:15:00,4.2,3993312,0,1380,16,0,40,32,34,238,238,238
000017400798,0703235203,1.75254E+12,LP,2025-07-15,06:00:00,4.64,3993311,0,1380,4.74,0,7,7,3,238,238,238
000017400798,0703235203,1.75254E+12,LP,2025-07-15,05:45:00,6.3,3993310,0,1380,6.34,0,13,8,8,235,235,236
000017400798,0703235203,1.75254E+12,LP,2025-07-15,05:30:00,6.3,3993309,0,1380,6.34,0,13,13,8,236,236,236
000017400798,0703235203,1.75254E+12,LP,2025-07-15,05:15:00,5.64,3993307,0,1380,5.8,0,14,8,3,236,236,236
000017400798,0703235203,1.75254E+12,LP,2025-07-15,05:00:00,5.7,3993306,0,1380,5.94,0,14,7,8,237,237,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,04:45:00,5.9,3993304,0,1380,6.04,0,14,7,3,237,238,238
000017400798,0703235203,1.75253E+12,LP,2025-07-15,04:30:00,5.74,3993303,0,1380,5.94,0,14,7,7,236,236,236
000017400798,0703235203,1.75253E+12,LP,2025-07-15,04:15:00,5.94,3993301,0,1380,6.1,0,15,7,7,236,237,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,04:00:00,5.74,3993300,0,1380,5.94,0,14,7,3,237,237,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,03:45:00,5.7,3993298,0,1380,5.9,0,14,7,7,236,236,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,03:30:00,5.84,3993297,0,1380,6.04,0,14,7,7,236,237,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,03:15:00,5.94,3993296,0,1380,6.1,0,14,7,3,237,237,237
000017400798,0703235203,1.75253E+12,LP,2025-07-15,03:00:00,5.84,3993294,0,1380,6,0,15,7,8,239,239,240
000017400798,0703235203,1.75253E+12,LP,2025-07-15,02:45:00,6.04,3993293,0,1380,6.2,0,14,7,8,239,239,240
000017400798,0703235203,1.75253E+12,LP,2025-07-15,02:30:00,8.34,3993291,0,1380,8.64,0,14,7,3,239,239,239
000017400798,0703235203,1.75253E+12,LP,2025-07-15,02:15:00,5.9,3993289,0,1380,6.1,0,15,7,8,239,239,239
000017400798,0703235203,1.75253E+12,LP,2025-07-15,02:00:00,5.8,3993288,0,1380,6,0,14,7,3,238,238,238
000017400798,0703235203,1.75252E+12,LP,2025-07-15,01:45:00,5.74,3993286,0,1380,5.94,0,13,13,8,238,238,238
000017400798,0703235203,1.75252E+12,LP,2025-07-15,01:30:00,6.14,3993285,0,1380,6.3,0,14,7,8,238,238,238
000017400798,0703235203,1.75252E+12,LP,2025-07-15,01:15:00,5.9,3993283,0,1380,6.04,0,14,7,8,237,237,237
000017400798,0703235203,1.75252E+12,LP,2025-07-15,01:00:00,6.1,3993282,0,1380,6.24,0,14,7,8,237,237,237
000017400798,0703235203,1.75252E+12,LP,2025-07-15,00:45:00,5.9,3993280,0,1380,6.1,0,14,7,3,236,236,237
000017400798,0703235203,1.75252E+12,LP,2025-07-15,00:30:00,6.14,3993279,0,1380,6.3,0,14,7,8,239,239,239
000017400798,0703235203,1.75252E+12,LP,2025-07-15,00:15:00,6.1,3993277,0,1380,6.3,0,14,7,3,240,241,241
000017400798,0703235203,1.75252E+12,LP,2025-07-15,00:00:00,6.2,3993276,0,1380,6.34,0,14,7,8,240,240,240
000017400798,0703235203,1.75252E+12,LP,2025-07-14,23:45:00,6.1,3993274,0,1380,6.3,0,14,7,8,240,239,240
000017400798,0703235203,1.75252E+12,LP,2025-07-14,23:30:00,8.04,3993272,0,1380,8.2,0,14,7,4,239,239,239
