SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),IMPORT_KVARH (kvarh),EXPORT_KVARH (kvarh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),POWER_FACTOR
000021301258,0702837509,1.75231E+12,LP,2025-07-12,13:30:00,0,8806.932,2.8362,22737.7061,2377.568,824.596,0,2.8667,-3.067,-3.713,-3.743,233.6001,231.1001,234.2001,-0.988
000021301258,0702837509,1.75231E+12,LP,2025-07-12,13:15:00,0,8806.932,3.1062,22736.997,2377.568,824.566,0,3.1413,-3.621,-4.574,-4.599,234.4,238.8,232,-0.989
000021301258,0702837509,1.75231E+12,LP,2025-07-12,13:00:00,0,8806.932,3.329,22736.22,2377.568,824.5451,0,3.3548,-4.038,-5.033,-5.052,234.7001,240,233.7001,-0.99
000021301258,0702837509,1.7523E+12,LP,2025-07-12,12:45:00,0,8806.932,3.1876,22735.388,2377.568,824.51,0,3.2795,-3.731,-4.447,-4.467,232,237.5,233.5,-0.991
000021301258,0702837509,1.7523E+12,LP,2025-07-12,12:30:00,0,8806.932,3.6284,22734.591,2377.568,824.475,0,3.6577,-4.153,-5.205,-5.224,232.2001,236.4,233.8,-0.991
000021301258,0702837509,1.7523E+12,LP,2025-07-12,12:15:00,0,8806.932,4.0101,22733.684,2377.568,824.453,0,4.0355,-3.619,-4.627,-4.643,232.7001,241,233,-0.989
000021301258,0702837509,1.7523E+12,LP,2025-07-12,12:00:00,0,8806.932,3.9424,22732.681,2377.568,824.423,0,3.9676,-4.71,-5.436,-5.463,236.2001,241.9,233.8,-0.994
000021301258,0702837509,1.7523E+12,LP,2025-07-12,11:45:00,0,8806.932,3.9291,22731.696,2377.568,824.388,0,3.9532,-3.22,-3.595,-3.621,233.5,236.6001,232.1001,-0.985
000021301258,0702837509,1.7523E+12,LP,2025-07-12,11:30:00,0,8806.932,3.999,22730.714,2377.568,824.318,0,4.051,-4.529,-5.713,-5.74,239.1001,240.9,233,-0.993
000021301258,0702837509,1.7523E+12,LP,2025-07-12,11:15:00,0,8806.932,3.0379,22729.714,2377.568,824.253,0,3.0638,-5.582,-6.253,-6.277,240.4,238.2001,231.4,-0.995
