SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._CURRENT (V),AVG._VOLTAGE (V),POWER_FACTOR
000022711091,0702870608,1.75231E+12,LP,2025-07-12,13:30:00,0,5622.608,0.8689,5523.852,-3.694,239.2001,-0.98
000022711091,0702870608,1.75231E+12,LP,2025-07-12,13:15:00,0,5622.608,1.0104,5523.635,-4.265,240.2001,-0.982
000022711091,0702870608,1.75231E+12,LP,2025-07-12,13:00:00,0,5622.608,0.9797,5523.3821,-4.11,240.4,-0.986
000022711091,0702870608,1.7523E+12,LP,2025-07-12,12:45:00,0,5622.608,0.9291,5523.137,-3.929,238.7001,-0.986
000022711091,0702870608,1.7523E+12,LP,2025-07-12,12:30:00,0,5622.608,1.0713,5522.905,-4.442,242.6001,-0.987
000022711091,0702870608,1.7523E+12,LP,2025-07-12,12:15:00,0,5622.608,0.9673,5522.637,-4.001,244.9,-0.981
000022711091,0702870608,1.7523E+12,LP,2025-07-12,12:00:00,0,5622.608,0.99,5522.396,-4.149,241.1001,-0.984
000022711091,0702870608,1.7523E+12,LP,2025-07-12,11:45:00,0,5622.608,0.9947,5522.148,-4.211,237.9,-0.984
000022711091,0702870608,1.7523E+12,LP,2025-07-12,11:30:00,0,5622.608,1.2474,5521.899,-5.081,246.8,-0.99
000022711091,0702870608,1.7523E+12,LP,2025-07-12,11:15:00,1.1667,5622.608,0.719,5521.587,2.1551,241.2001,-0.21
000022711091,0702870608,1.7523E+12,LP,2025-07-12,11:00:00,0.6819,5622.316,0.5432,5521.408,0.719,239.8,-0.506
000022711091,0702870608,1.7523E+12,LP,2025-07-12,10:45:00,0.001,5622.145,1.0287,5521.272,-4.237,243.5,-0.963
000022711091,0702870608,1.7523E+12,LP,2025-07-12,10:30:00,0,5622.145,1.2497,5521.0161,-5.159,243.7001,-0.984
000022711091,0702870608,1.7523E+12,LP,2025-07-12,10:15:00,0.0057,5622.145,0.2455,5520.704,-1.167,237,-0.704
000022711091,0702870608,1.75229E+12,LP,2025-07-12,10:00:00,0.0035,5622.144,0.269,5520.643,-1.215,230.2001,-0.683
000022711091,0702870608,1.75229E+12,LP,2025-07-12,09:45:00,0,5622.144,0.427,5520.577,-1.851,236.8,-0.972
000022711091,0702870608,1.75229E+12,LP,2025-07-12,09:30:00,0,5622.144,0.6079,5520.47,-2.603,236.2001,-0.976
000022711091,0702870608,1.75229E+12,LP,2025-07-12,09:15:00,0.5661,5622.144,0.5504,5520.319,1.748,235.9,-0.355
000022711091,0702870608,1.75229E+12,LP,2025-07-12,09:00:00,0,5622.003,0.7449,5520.1811,-3.184,236.5,-0.964
000022711091,0702870608,1.75229E+12,LP,2025-07-12,08:45:00,0,5622.003,0.594,5519.994,-2.603,231.9,-0.963
000022711091,0702870608,1.75229E+12,LP,2025-07-12,08:30:00,0,5622.003,0.4188,5519.8461,-1.879,231.3,-0.94
000022711091,0702870608,1.75229E+12,LP,2025-07-12,08:15:00,0,5622.003,0.6114,5519.741,-2.701,229.9,-0.97
000022711091,0702870608,1.75229E+12,LP,2025-07-12,08:00:00,0.0007,5622.003,0.1244,5519.589,-0.63,226.5,-0.568
000022711091,0702870608,1.75229E+12,LP,2025-07-12,07:45:00,0.0711,5622.003,0.0004,5519.558,0.513,224.8,0.536
000022711091,0702870608,1.75229E+12,LP,2025-07-12,07:30:00,0.113,5621.985,0,5519.558,0.6951,220.1001,0.715
000022711091,0702870608,1.75228E+12,LP,2025-07-12,07:15:00,0.11,5621.957,0,5519.558,0.679,221,0.73
000022711091,0702870608,1.75228E+12,LP,2025-07-12,07:00:00,0.179,5621.93,0,5519.558,0.9531,219.9,0.804
