SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),INST._POWER_FACTOR
000023738565,0702871202,1.75231E+12,LP,2025-07-12,13:30:00,0,1581.8691,2.4085,5003.8,0,2.4117,10.254,235,-0.999
000023738565,0702871202,1.75231E+12,LP,2025-07-12,13:15:00,0,1581.8691,2.7038,5003.1991,0,2.7085,11.199,241.8,-0.998
000023738565,0702871202,1.75231E+12,LP,2025-07-12,13:00:00,0,1581.8691,2.8784,5002.523,0,2.8833,11.949,241,-0.996
000023738565,0702871202,1.7523E+12,LP,2025-07-12,12:45:00,0,1581.8691,2.8487,5001.804,0,2.8538,11.834,240.9,-1
000023738565,0702871202,1.7523E+12,LP,2025-07-12,12:30:00,0.0645,1581.8691,1.4297,5001.0921,0.0884,1.4367,6.281,242.4,-0.992
000023738565,0702871202,1.7523E+12,LP,2025-07-12,12:15:00,0.0544,1581.854,0.9912,5000.732,0.0785,0.995,4.362,243.5,-1
000023738565,0702871202,1.7523E+12,LP,2025-07-12,12:00:00,0.0621,1581.8411,1.4309,5000.485,0.0852,1.4374,6.216,242.8,0.6991
000023738565,0702871202,1.7523E+12,LP,2025-07-12,11:45:00,0.0719,1581.827,1.871,5000.128,0.0947,1.873,7.945,242.9,-0.997
000023738565,0702871202,1.7523E+12,LP,2025-07-12,11:30:00,0.048,1581.81,2.3769,4999.661,0.0658,2.3799,9.8541,245.5,-0.998
000023738565,0702871202,1.7523E+12,LP,2025-07-12,11:15:00,0.0487,1581.799,1.4971,4999.067,0.0678,1.5044,6.329,244.7001,0.6901
000023738565,0702871202,1.7523E+12,LP,2025-07-12,11:00:00,0.105,1581.788,0.784,4998.696,0.1414,0.7878,3.744,243.9,0.705
000023738565,0702871202,1.7523E+12,LP,2025-07-12,10:45:00,0.0671,1581.763,1.9604,4998.502,0.0877,1.9647,8.336,243.8,0.752
000023738565,0702871202,1.7523E+12,LP,2025-07-12,10:30:00,0.0318,1581.747,2.1731,4998.014,0.0459,2.1779,8.978,245.4,-0.997
000023738565,0702871202,1.7523E+12,LP,2025-07-12,10:15:00,0.025,1581.74,1.6224,4997.47,0.0369,1.6249,6.796,243.3,0.7011
000023738565,0702871202,1.75229E+12,LP,2025-07-12,10:00:00,0,1581.734,1.521,4997.067,0,1.5276,6.42,237.1001,-0.995
