SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V),INST._POWER_FACTOR
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,13:30:00,217.566,210067.9251,0,0.0511,223.9081,0,342.66,320.52,365.82,231.24,231.97,230.71,0.984
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,13:15:00,226.122,210013.533,0,0.0511,231.324,0,334.44,314.76,365.4001,230.08,229.78,228.99,0.982
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,13:00:00,234.138,209957.002,0,0.0511,240.072,0,354.8401,306.06,374.76,232.35,233.66,231.46,0.981
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,12:45:00,234.99,209898.529,0,0.0511,239.562,0,361.32,288.3,341.16,231.15,232.28,231.07,0.984
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,12:30:00,249.75,209839.718,0,0.0511,254.37,0,372.18,326.22,377.22,234.9,235.41,233.66,0.985
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,12:15:00,250.9261,209777.2811,0,0.0511,255.114,0,378.36,330.66,411.48,235.1,235.27,234.25,0.987
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,12:00:00,258.57,209714.548,0,0.0511,262.674,0,370.86,363.9001,422.64,233.8,233.36,232.09,0.988
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,11:45:00,257.112,209649.9061,0,0.0511,261.342,0,397.86,385.32,408.8401,231.94,232.11,231.24,0.988
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,11:30:00,261.972,209585.627,0,0.0511,266.3761,0,379.98,380.64,408.9001,234.1701,233.36,232.44,0.987
000023400951,073/AZ0878,1.76008E+12,LP,2025-10-10,11:15:00,252.258,209520.133,0,0.0511,257.088,0,422.3401,395.04,437.52,231.86,231.71,230.86,0.987
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,11:00:00,231.372,209457.068,0,0.0511,236.538,0,307.32,308.88,350.16,234.59,234.6,232.66,0.975
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,10:45:00,216.78,209399.225,0,0.0511,221.454,0,298.92,277.98,327.72,233.18,232.93,232.04,0.981
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,10:30:00,217.806,209345.03,0,0.0511,222.732,0,356.16,309.72,378.06,232.6401,232.56,230.7001,0.982
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,10:15:00,220.68,209290.578,0,0.0511,225.576,0,352.62,329.64,365.88,231.3,231.16,230.04,0.982
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,10:00:00,216.138,209235.407,0,0.0511,221.094,0,349.02,311.04,354.96,230.85,231.38,230.61,0.985
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,09:45:00,214.542,209181.372,0,0.0511,218.898,0,304.32,306.66,349.2,233.84,233.19,232.25,0.975
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,09:30:00,207.984,209127.736,0,0.0511,212.454,0,303.6,282.72,300.24,233.87,233.82,233.94,0.985
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,09:15:00,153.4381,209075.739,0,0.0511,157.602,0,269.46,259.92,301.2,234.65,234.04,233.4801,0.972
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,09:00:00,106.248,209037.3791,0,0.0511,108.858,0,164.34,114.06,209.58,237.41,237.83,236.26,0.99
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,08:45:00,63.84,209010.817,0,0.0511,65.28,0,108,114.78,152.28,234.41,233.8901,233.52,0.982
000023400951,073/AZ0878,1.76007E+12,LP,2025-10-10,08:30:00,43.464,208994.869,0,0.0511,44.79,0,61.44,90.36,75.84,238.12,237.1701,237.16,0.975
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,08:15:00,19.56,208983.988,0,0.0511,19.9321,0,62.76,52.14,72.72,238.38,238.9801,238.75,0.963
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,08:00:00,18.498,208979.097,0,0.0511,18.792,0,31.62,22.86,23.1,240.52,241.1701,240.68,0.998
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,07:45:00,19.722,208974.472,0,0.0511,20.04,0,46.38,25.5,36.3001,237.37,237.82,236.86,0.969
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,07:30:00,19.734,208969.54,0,0.0511,20.4001,0,12.48,21.3,42.84,236.71,236.44,235.55,0.978
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,07:15:00,17.154,208964.6071,0,0.0511,17.466,0,11.16,28.62,49.44,237.63,237.6401,237.55,0.976
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,07:00:00,22.608,208960.317,0,0.0511,22.896,0,16.86,20.1,41.28,238.78,238.43,238.31,0.99
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,06:45:00,28.674,208954.6641,0,0.0511,28.8421,0,15.7801,20.82,66.6,240.32,240.03,240.22,0.998
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,06:30:00,32.97,208947.495,0,0.0511,33.12,0,28.5601,28.62,67.8,238.54,238.93,238.18,0.999
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,06:15:00,32.862,208939.253,0,0.0511,32.982,0,28.5,43.14,67.86,239.6701,239.69,239.6,0.999
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,06:00:00,31.404,208931.037,0,0.0511,31.572,0,31.02,54.6,66.6,237.79,237.55,237.22,1
000023400951,073/AZ0878,1.76006E+12,LP,2025-10-10,05:45:00,34.428,208923.1861,0,0.0511,34.542,0,32.1,42.18,54.6601,237.84,237.86,238.03,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,05:30:00,34.686,208914.587,0,0.0511,34.8001,0,38.64,37.26,57.18,238.72,238.99,238.63,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,05:15:00,29.154,208905.9061,0,0.0511,29.238,0,27.9001,34.14,71.8201,239.68,239.6401,238.86,0.999
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,05:00:00,29.262,208898.616,0,0.0511,29.334,0,28.5,34.08,52.68,236.81,237.2001,236.94,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,04:45:00,32.088,208891.3001,0,0.0511,32.19,0,29.28,40.32,87.66,238,237.76,237.02,0.997
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,04:30:00,29.25,208883.277,0,0.0511,29.3041,0,30.96,30.12,66.72,238.1,238.71,237.96,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,04:15:00,28.248,208875.964,0,0.0511,28.296,0,32.58,29.34,66.3,238.6401,239.07,238.33,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,04:00:00,27.666,208868.901,0,0.0511,27.732,0,21.66,36.12,55.38,239.4801,239.58,239.43,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,03:45:00,27.042,208861.984,0,0.0511,27.114,0,29.1,41.34,50.22,239.24,239.46,239.1701,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,03:30:00,26.178,208855.229,0,0.0511,26.226,0,31.02,30.78,53.1,238.85,239.61,238.8,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,03:15:00,26.5861,208848.677,0,0.0511,26.646,0,29.4001,29.28,58.38,236.47,237.21,236.34,1
000023400951,073/AZ0878,1.76005E+12,LP,2025-10-10,03:00:00,27.4261,208842.029,0,0.0511,27.5161,0,33,30.84,69.42,236.52,237.47,236.2001,0.999
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,02:45:00,27.036,208835.171,0,0.0511,27.138,0,34.02,32.34,51.54,236.51,236.7001,236.02,1
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,02:30:00,26.364,208828.411,0,0.0511,26.502,0,32.94,30.36,57.54,237,236.75,236.52,1
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,02:15:00,27.414,208821.82,0,0.0511,27.492,0,25.5,30.48,53.88,239.8901,239.72,239.4801,0.998
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,02:00:00,27.372,208814.973,0,0.0511,27.438,0,28.02,30.36,57.84,239.24,239.53,238.66,1
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,01:45:00,26.628,208808.121,0,0.0511,26.694,0,29.82,28.68,54.6,238.62,239.04,238.46,0.998
000023400951,073/AZ0878,1.76004E+12,LP,2025-10-10,01:30:00,25.776,208801.464,0,0.0511,25.866,0,26.76,30.18,51.36,238.32,238.7001,237.78,0.998
