SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,AVG._IMPORT_KW (kW),IMPORT_KWH (kWh),AVG._EXPORT_KW (kW),EXPORT_KWH (kWh),AVG._IMPORT_KVA (kVA),AVG._EXPORT_KVA (kVA),PHASE_A_INST._CURRENT (A),PHASE_B_INST._CURRENT (A),PHASE_C_INST._CURRENT (A),PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,13:30:00,149.328,2354733.568,0,0,153.4381,0,217.26,217.5,177.72,231.1701,232.44,233.29
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,13:15:00,152.262,2354696.235,0,0,156.336,0,235.86,249.24,204.18,228.69,229.4201,230.47
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,13:00:00,151.278,2354658.169,0,0,155.022,0,214.74,247.9201,189.96,232.15,232.75,233.71
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,12:45:00,152.364,2354620.348,0,0,156.174,0,239.58,246.78,190.02,230.21,231.06,232.2301
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,12:30:00,152.508,2354582.298,0,0,156.474,0,235.74,230.28,171,234.28,235.4501,236.2301
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,12:15:00,150.372,2354544.13,0,0,154.296,0,217.1401,228.36,191.52,234.5,235.5,236.2301
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,12:00:00,149.388,2354506.536,0,0,153.306,0,228.06,256.32,173.1,232.94,232.93,235.15
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,11:45:00,154.866,2354469.188,0,0,158.7121,0,229.9201,273.06,185.34,232.37,232.43,234.09
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,11:30:00,145.374,2354430.471,0,0,149.088,0,228.72,245.76,187.9201,232.9201,234,235.28
000020401106,073/AZ0887,1.76008E+12,LP,2025-10-10,11:15:00,148.8841,2354394.126,0,0,152.832,0,218.4,239.76,172.44,232.1701,232.85,234.33
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,11:00:00,146.46,2354356.904,0,0,150.15,0,231.24,264.48,208.68,233.07,233.65,234.87
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,10:45:00,149.034,2354320.289,0,0,152.82,0,217.26,237.12,173.58,232.34,233.13,234.1401
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,10:30:00,144.354,2354283.029,0,0,147.96,0,213.66,223.08,187.62,232.12,233.02,233.66
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,10:15:00,132.072,2354246.981,0,0,136.032,0,231.3,234.18,215.1,230.28,231.16,231.91
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,10:00:00,135.06,2354213.92,0,0,139.59,0,179.46,219.66,188.34,231.35,231.38,231.63
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,09:45:00,119.022,2354180.154,0,0,124.422,0,174.78,203.7001,168,233.7001,234.02,234.93
000020401106,073/AZ0887,1.76007E+12,LP,2025-10-10,09:30:00,112.86,2354150.397,0,0,118.3621,0,150.72,185.7001,175.26,234.2001,233.7301,233.96
