SERIAL,CUSTOMER_REF,TIMESTAMP,OBIS,DATE,TIME,PHASE_A_INST._VOLTAGE (V),PHASE_B_INST._VOLTAGE (V),PHASE_C_INST._VOLTAGE (V)
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76009E+12,LP,2025-10-10,14:15:00,233.6001,234.7001,233.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76009E+12,LP,2025-10-10,14:00:00,233.5,234.6001,233.5
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,13:45:00,233.9,234.8,233.3
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,13:30:00,230.6001,231.5,230.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,13:15:00,228.1001,228.8,228.1001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,13:00:00,231.7001,232.9,231.5
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,12:45:00,230,231.2001,230.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,12:30:00,230.3,231.4,230.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,12:15:00,233.4,234.7001,233.3
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,12:00:00,232.1001,232.8,231.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,11:45:00,229.8,230.6001,230
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,11:30:00,232.4,232.9,231.7001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76008E+12,LP,2025-10-10,11:15:00,230.3,231.4,230.1001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,11:00:00,232.8,233.5,232.7001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,10:45:00,231.8,232.6001,231.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,10:30:00,231.5,232.4,230.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,10:15:00,229.6001,230.7001,229.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,10:00:00,229.8,230.7001,229.5
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,09:45:00,232.5,232.4,232.1001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,09:30:00,233,233.1001,233
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,09:15:00,234,233.9,233.1001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,09:00:00,237,237.6001,236.1001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,08:45:00,232.8,232.5,232.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76007E+12,LP,2025-10-10,08:30:00,236.6001,236.8,236.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,08:15:00,237.9,238.5,238.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,08:00:00,239.7001,240.4,240.3
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,07:45:00,236.2001,237.2001,236.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,07:30:00,235.4,235.5,235.5
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,07:15:00,236.9,237.2001,237
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,07:00:00,237.7001,238.1001,237.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,06:45:00,239.2001,239.6001,239.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,06:30:00,237.9,238.5,238.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,06:15:00,238.9,239.2001,239.3
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,06:00:00,236.9,237.1001,237.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76006E+12,LP,2025-10-10,05:45:00,237,237.4,237.8
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,05:30:00,237.7001,238.3,238.4
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,05:15:00,238.6001,239.1001,238.9
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,05:00:00,235.9,236.4,236.6001
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,04:45:00,236.9,237.4,236.8
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,04:30:00,237.4,238.1001,237.8
000021900258,"TRANSFORMER POLE- NEAR 231,CIB SHOP PAMUNUWA",1.76005E+12,LP,2025-10-10,04:15:00,237.6001,238.3,237.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76009E+12,LP,2025-10-10,14:15:00,232.5,231.5,229.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76009E+12,LP,2025-10-10,14:00:00,230.2001,231.2001,231.2001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,13:45:00,231.1001,232.2001,229.3
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,13:30:00,229.4,229.1001,226.6001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,13:15:00,227.6001,226.9,225.4
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,13:00:00,227.4,231,227.4
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,12:45:00,229,231.3,229
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,12:30:00,231.5,233.2001,228.3
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,12:15:00,230.3,232.6001,228.3
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,12:00:00,230.9,229.5,225.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,11:45:00,227.5,229.3,225
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,11:30:00,231.1001,229.6001,225.7001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76008E+12,LP,2025-10-10,11:15:00,227.1001,229.1001,225.3
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,11:00:00,232.6001,230.7001,228.3
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,10:45:00,230.9,230.5,226.1001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,10:30:00,230.4,230.3,225.7001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,10:15:00,229.8,228.3,224.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,10:00:00,227.7001,230.1001,224.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,09:45:00,231.1001,230.5,228.4
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,09:30:00,229.2001,229.1001,229.7001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,09:15:00,234.2001,233.2001,228.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,09:00:00,234.9,238.3,231.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,08:45:00,234.5,231.1001,230.1001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76007E+12,LP,2025-10-10,08:30:00,236.7001,233.9,237.1001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,08:15:00,238,239,237.1001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,08:00:00,239.6001,240.1001,240.6001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,07:45:00,235.7001,236.8,236.9
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,07:30:00,236.1001,235.7001,235
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,07:15:00,237.4,236.8,236.8
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,07:00:00,238.1001,238.4,237.2001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,06:45:00,240,239.7001,238.6001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,06:30:00,238.2001,238.1001,237.2001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,06:15:00,239.9,238,238.4
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,06:00:00,237.7001,236,236.5
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76006E+12,LP,2025-10-10,05:45:00,237.9,237,237
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76005E+12,LP,2025-10-10,05:30:00,238.6001,238.1001,237.2001
000021901721,END NEAR DEWALA RD PAMUNUWA,1.76005E+12,LP,2025-10-10,05:15:00,239.6001,238.8,236.9
